,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,sh,sot,dist,fk,pk,pkatt,sota,saves,pka,pksv,cmp,att,totdist,prgdist,live,dead,tb,sw,crs,ti,ck,season,team
12,2019-11-08,20:30,Matchweek 11,Fri,Away,W,2,1,Köln,2.1,0.9,55.0,49100.0,Kevin Vogt,3-1-4-2,Robert Kampka,14.0,4.0,23.4,1.0,1.0,1.0,3.0,2.0,0.0,0.0,422.0,530.0,7260.0,2702.0,469.0,61.0,1.0,5.0,20.0,24.0,7.0,2019-2020,Hoffenheim
13,2019-11-24,18:00,Matchweek 12,Sun,Home,L,1,5,Mainz 05,2.0,2.5,63.0,23129.0,Kevin Vogt,3-4-3,Bastian Dankert,20.0,8.0,15.8,1.0,0.0,0.0,5.0,1.0,0.0,0.0,483.0,585.0,8997.0,3085.0,529.0,55.0,0.0,4.0,31.0,14.0,14.0,2019-2020,Hoffenheim
14,2019-11-30,15:30,Matchweek 13,Sat,Home,D,1,1,Düsseldorf,2.1,0.9,51.0,25427.0,Kevin Vogt,3-4-3,Martin Petersen,12.0,6.0,10.7,0.0,0.0,0.0,3.0,2.0,0.0,0.0,425.0,541.0,7632.0,3254.0,491.0,48.0,1.0,1.0,14.0,15.0,2.0,2019-2020,Hoffenheim
15,2019-12-07,15:30,Matchweek 14,Sat,Away,L,1,3,RB Leipzig,1.5,3.6,59.0,38407.0,Oliver Baumann,4-2-3-1,Deniz Aytekin,11.0,1.0,14.4,0.0,0.0,0.0,14.0,11.0,1.0,0.0,542.0,666.0,9178.0,3318.0,599.0,65.0,2.0,2.0,15.0,24.0,6.0,2019-2020,Hoffenheim
16,2019-12-13,20:30,Matchweek 15,Fri,Home,L,2,4,Augsburg,2.1,2.4,76.0,23309.0,Oliver Baumann,4-2-3-1,Bibiana Steinhaus,19.0,8.0,18.2,2.0,0.0,0.0,4.0,0.0,1.0,0.0,618.0,737.0,11367.0,3573.0,671.0,60.0,6.0,5.0,37.0,30.0,11.0,2019-2020,Hoffenheim
17,2019-12-17,20:30,Matchweek 16,Tue,Away,W,2,0,Union Berlin,0.8,1.5,51.0,20350.0,Benjamin Hübner,4-2-3-1,Sören Storks,7.0,4.0,23.2,1.0,0.0,0.0,2.0,2.0,0.0,0.0,315.0,449.0,5485.0,2481.0,384.0,64.0,0.0,1.0,9.0,32.0,1.0,2019-2020,Hoffenheim
18,2019-12-20,20:30,Matchweek 17,Fri,Home,W,2,1,Dortmund,1.3,2.2,49.0,30150.0,Benjamin Hübner,4-3-3,Felix Zwayer,11.0,3.0,20.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,487.0,593.0,9442.0,3019.0,544.0,44.0,0.0,3.0,12.0,19.0,0.0,2019-2020,Hoffenheim
19,2020-01-18,15:30,Matchweek 18,Sat,Home,L,1,2,Eint Frankfurt,1.0,2.0,64.0,29610.0,Benjamin Hübner,4-3-3,Sascha Stegemann,12.0,4.0,16.4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,556.0,681.0,10130.0,3551.0,619.0,59.0,0.0,4.0,29.0,29.0,8.0,2019-2020,Hoffenheim
20,2020-01-26,15:30,Matchweek 19,Sun,Away,W,3,0,Werder Bremen,1.5,0.8,46.0,40000.0,Benjamin Hübner,5-3-2,Martin Petersen,11.0,4.0,14.3,0.0,0.0,0.0,3.0,3.0,0.0,0.0,370.0,479.0,6964.0,2791.0,433.0,45.0,0.0,1.0,14.0,17.0,4.0,2019-2020,Hoffenheim
21,2020-02-01,15:30,Matchweek 20,Sat,Home,W,2,1,Leverkusen,2.6,3.0,36.0,24489.0,Benjamin Hübner,3-4-3,Deniz Aytekin,14.0,6.0,15.9,1.0,0.0,0.0,10.0,9.0,0.0,0.0,217.0,337.0,4054.0,1973.0,286.0,50.0,1.0,0.0,15.0,22.0,4.0,2019-2020,Hoffenheim
23,2020-02-08,15:30,Matchweek 21,Sat,Away,L,0,1,Freiburg,1.7,2.0,50.0,24000.0,Benjamin Hübner,5-3-2,Sven Jablonski,20.0,6.0,19.1,0.0,0.0,0.0,5.0,4.0,1.0,0.0,390.0,501.0,6688.0,2816.0,448.0,53.0,0.0,3.0,37.0,20.0,10.0,2019-2020,Hoffenheim
24,2020-02-15,15:30,Matchweek 22,Sat,Home,L,2,3,Wolfsburg,3.3,3.5,57.0,22506.0,Benjamin Hübner,3-1-4-2,Sören Storks,13.0,5.0,16.3,1.0,1.0,1.0,6.0,3.0,2.0,0.0,474.0,579.0,8723.0,3064.0,526.0,53.0,2.0,2.0,20.0,25.0,4.0,2019-2020,Hoffenheim
25,2020-02-22,15:30,Matchweek 23,Sat,Away,D,1,1,M'Gladbach,1.6,2.3,52.0,50250.0,Benjamin Hübner,4-2-2-2,Felix Brych,21.0,4.0,16.5,2.0,0.0,0.0,10.0,8.0,0.0,1.0,468.0,546.0,8119.0,2969.0,501.0,44.0,0.0,4.0,17.0,19.0,8.0,2019-2020,Hoffenheim
26,2020-02-29,15:30,Matchweek 24,Sat,Home,L,0,6,Bayern Munich,0.3,4.2,34.0,30150.0,Benjamin Hübner,4-2-3-1,Christian Dingert,4.0,1.0,12.3,0.0,0.0,0.0,11.0,5.0,0.0,0.0,284.0,361.0,5125.0,1887.0,311.0,49.0,1.0,2.0,6.0,17.0,1.0,2019-2020,Hoffenheim
27,2020-03-07,15:30,Matchweek 25,Sat,Away,D,1,1,Schalke 04,0.6,1.1,56.0,58324.0,Benjamin Hübner,3-1-4-2,Sven Jablonski,4.0,1.0,11.2,1.0,0.0,0.0,4.0,3.0,0.0,0.0,474.0,572.0,8041.0,2425.0,523.0,47.0,0.0,1.0,21.0,27.0,5.0,2019-2020,Hoffenheim
28,2020-05-16,15:30,Matchweek 26,Sat,Home,L,0,3,Hertha BSC,2.6,1.4,51.0,,Benjamin Hübner,4-2-3-1,Christian Dingert,18.0,2.0,15.5,0.0,0.0,0.0,6.0,4.0,0.0,0.0,385.0,486.0,6511.0,2400.0,428.0,58.0,1.0,1.0,22.0,24.0,7.0,2019-2020,Hoffenheim
29,2020-05-23,15:30,Matchweek 27,Sat,Away,D,1,1,Paderborn 07,2.0,0.8,61.0,,Benjamin Hübner,3-1-4-2,Bibiana Steinhaus,17.0,6.0,15.6,0.0,0.0,0.0,2.0,1.0,0.0,0.0,559.0,658.0,9704.0,3559.0,596.0,59.0,1.0,4.0,24.0,23.0,8.0,2019-2020,Hoffenheim
30,2020-05-27,20:30,Matchweek 28,Wed,Home,W,3,1,Köln,1.2,2.2,43.0,,Benjamin Hübner,4-2-3-1,Felix Brych,8.0,6.0,15.9,1.0,0.0,0.0,5.0,3.0,0.0,1.0,357.0,433.0,6433.0,2438.0,396.0,34.0,1.0,4.0,2.0,13.0,0.0,2019-2020,Hoffenheim
31,2020-05-30,15:30,Matchweek 29,Sat,Away,W,1,0,Mainz 05,2.1,1.4,50.0,,Oliver Baumann,4-2-3-1,Sascha Stegemann,11.0,5.0,19.8,1.0,0.0,1.0,2.0,2.0,0.0,0.0,368.0,479.0,6155.0,2357.0,429.0,49.0,0.0,2.0,11.0,18.0,7.0,2019-2020,Hoffenheim
32,2020-06-06,15:30,Matchweek 30,Sat,Away,D,2,2,Düsseldorf,1.2,2.8,32.0,,Benjamin Hübner,4-2-3-1,Sören Storks,8.0,3.0,28.6,1.0,0.0,0.0,4.0,2.0,1.0,0.0,239.0,330.0,4415.0,1965.0,284.0,46.0,0.0,2.0,3.0,14.0,1.0,2019-2020,Hoffenheim
33,2020-06-12,20:30,Matchweek 31,Fri,Home,L,0,2,RB Leipzig,1.9,1.5,51.0,,Oliver Baumann,3-4-1-2,Tobias Welz,24.0,6.0,19.0,1.0,0.0,0.0,7.0,5.0,0.0,0.0,373.0,506.0,6944.0,2596.0,443.0,59.0,1.0,4.0,23.0,22.0,9.0,2019-2020,Hoffenheim
34,2020-06-17,20:30,Matchweek 32,Wed,Away,W,3,1,Augsburg,2.6,0.6,56.0,,Benjamin Hübner,3-1-4-2,Deniz Aytekin,16.0,5.0,14.5,0.0,0.0,0.0,5.0,4.0,0.0,0.0,462.0,568.0,9061.0,3701.0,518.0,49.0,0.0,7.0,24.0,26.0,4.0,2019-2020,Hoffenheim
35,2020-06-20,15:30,Matchweek 33,Sat,Home,W,4,0,Union Berlin,2.3,0.5,59.0,,Benjamin Hübner,3-1-4-2,Robert Hartmann,16.0,8.0,17.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,466.0,567.0,8357.0,2792.0,520.0,46.0,3.0,0.0,18.0,18.0,6.0,2019-2020,Hoffenheim
36,2020-06-27,15:30,Matchweek 34,Sat,Away,W,4,0,Dortmund,3.9,0.2,41.0,,Benjamin Hübner,3-5-2,Guido Winkmann,15.0,6.0,15.2,0.0,1.0,1.0,4.0,4.0,0.0,0.0,423.0,502.0,7603.0,2919.0,473.0,29.0,3.0,3.0,21.0,13.0,5.0,2019-2020,Hoffenheim
1,2019-08-17,15:30,Matchweek 1,Sat,Home,W,2,1,Köln,1.0,1.2,47.0,25099.0,Josuha Guilavogui,3-4-3,Sven Jablonski,15.0,5.0,22.6,1.0,0.0,0.0,2.0,1.0,0.0,0.0,312.0,424.0,6181.0,2503.0,367.0,54.0,1.0,4.0,12.0,25.0,2.0,2019-2020,Wolfsburg
2,2019-08-25,18:00,Matchweek 2,Sun,Away,W,3,0,Hertha BSC,1.3,0.9,44.0,42738.0,Josuha Guilavogui,3-4-3,Guido Winkmann,9.0,3.0,22.1,0.0,1.0,1.0,2.0,2.0,0.0,0.0,300.0,419.0,5167.0,2340.0,363.0,51.0,0.0,5.0,11.0,19.0,5.0,2019-2020,Wolfsburg
3,2019-08-31,15:30,Matchweek 3,Sat,Home,D,1,1,Paderborn 07,1.1,0.5,62.0,23750.0,Josuha Guilavogui,3-4-3,Daniel Schlager,16.0,4.0,22.4,0.0,0.0,0.0,3.0,2.0,0.0,0.0,469.0,597.0,8519.0,2964.0,529.0,66.0,2.0,7.0,25.0,33.0,8.0,2019-2020,Wolfsburg
4,2019-09-13,20:30,Matchweek 4,Fri,Away,D,1,1,Düsseldorf,2.1,0.7,58.0,36758.0,Josuha Guilavogui,3-4-3,Manuel Gräfe,15.0,6.0,15.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,428.0,541.0,7641.0,2987.0,488.0,52.0,3.0,2.0,25.0,26.0,8.0,2019-2020,Wolfsburg
6,2019-09-23,20:30,Matchweek 5,Mon,Home,D,1,1,Hoffenheim,0.9,0.7,52.0,21120.0,Josuha Guilavogui,3-4-3,Benjamin Cortus,12.0,4.0,20.2,0.0,0.0,0.0,5.0,4.0,0.0,0.0,444.0,565.0,8128.0,2935.0,507.0,52.0,2.0,4.0,15.0,24.0,4.0,2019-2020,Wolfsburg
7,2019-09-28,15:30,Matchweek 6,Sat,Away,W,1,0,Mainz 05,0.8,1.3,47.0,24303.0,Josuha Guilavogui,3-4-3,Felix Brych,4.0,3.0,13.9,0.0,0.0,0.0,4.0,4.0,0.0,0.0,327.0,439.0,5958.0,2535.0,395.0,44.0,1.0,4.0,5.0,25.0,1.0,2019-2020,Wolfsburg
9,2019-10-06,15:30,Matchweek 7,Sun,Home,W,1,0,Union Berlin,1.8,0.7,52.0,27012.0,Josuha Guilavogui,3-4-3,Bastian Dankert,13.0,4.0,15.4,0.0,0.0,0.0,3.0,3.0,0.0,0.0,333.0,474.0,6121.0,2516.0,405.0,66.0,3.0,8.0,22.0,30.0,5.0,2019-2020,Wolfsburg
10,2019-10-19,15:30,Matchweek 8,Sat,Away,D,1,1,RB Leipzig,1.3,1.2,44.0,39182.0,Josuha Guilavogui,3-4-3,Deniz Aytekin,13.0,6.0,15.4,0.0,0.0,0.0,5.0,4.0,0.0,0.0,310.0,445.0,6058.0,2517.0,384.0,59.0,0.0,8.0,13.0,32.0,3.0,2019-2020,Wolfsburg
12,2019-10-27,15:30,Matchweek 9,Sun,Home,D,0,0,Augsburg,1.1,1.0,57.0,22630.0,Josuha Guilavogui,3-4-3,Tobias Stieler,14.0,3.0,18.3,1.0,0.0,0.0,5.0,5.0,0.0,0.0,362.0,503.0,6882.0,2473.0,441.0,59.0,1.0,4.0,25.0,31.0,5.0,2019-2020,Wolfsburg
14,2019-11-02,15:30,Matchweek 10,Sat,Away,L,0,3,Dortmund,1.5,2.2,36.0,80200.0,Josuha Guilavogui,3-4-3,Tobias Welz,12.0,3.0,16.0,0.0,0.0,0.0,8.0,5.0,1.0,0.0,283.0,382.0,5656.0,2207.0,331.0,49.0,1.0,2.0,11.0,22.0,2.0,2019-2020,Wolfsburg
16,2019-11-10,15:30,Matchweek 11,Sun,Home,L,0,2,Leverkusen,0.9,1.0,47.0,24112.0,Josuha Guilavogui,3-4-3,Manuel Gräfe,10.0,1.0,17.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,360.0,526.0,6742.0,2685.0,451.0,72.0,3.0,3.0,29.0,41.0,9.0,2019-2020,Wolfsburg
17,2019-11-23,15:30,Matchweek 12,Sat,Away,W,2,0,Eint Frankfurt,1.3,0.9,32.0,50700.0,Josuha Guilavogui,3-4-3,Daniel Siebert,9.0,6.0,16.5,0.0,0.0,0.0,9.0,9.0,0.0,0.0,152.0,257.0,2910.0,1525.0,204.0,50.0,2.0,3.0,7.0,26.0,1.0,2019-2020,Wolfsburg
19,2019-12-01,18:00,Matchweek 13,Sun,Home,L,2,3,Werder Bremen,2.2,1.3,60.0,26012.0,Josuha Guilavogui,3-4-3,Robert Kampka,20.0,6.0,17.1,0.0,0.0,0.0,3.0,0.0,1.0,0.0,395.0,539.0,7118.0,3097.0,476.0,59.0,0.0,2.0,31.0,24.0,9.0,2019-2020,Wolfsburg
20,2019-12-07,15:30,Matchweek 14,Sat,Away,L,0,1,Freiburg,1.6,0.5,50.0,23800.0,Josuha Guilavogui,3-4-3,Bastian Dankert,10.0,0.0,13.8,0.0,0.0,0.0,3.0,2.0,0.0,0.0,297.0,438.0,5873.0,2301.0,381.0,56.0,3.0,4.0,30.0,26.0,7.0,2019-2020,Wolfsburg
22,2019-12-15,15:30,Matchweek 15,Sun,Home,W,2,1,M'Gladbach,1.3,0.8,49.0,25580.0,Josuha Guilavogui,4-1-4-1,Felix Brych,18.0,7.0,17.6,1.0,0.0,0.0,6.0,5.0,0.0,0.0,372.0,483.0,7147.0,2571.0,440.0,41.0,0.0,5.0,20.0,18.0,5.0,2019-2020,Wolfsburg
23,2019-12-18,20:30,Matchweek 16,Wed,Home,D,1,1,Schalke 04,3.0,1.6,54.0,24651.0,Josuha Guilavogui,4-1-4-1,Martin Petersen,29.0,10.0,16.3,1.0,0.0,0.0,2.0,1.0,0.0,0.0,353.0,462.0,6978.0,3114.0,401.0,59.0,0.0,5.0,32.0,26.0,12.0,2019-2020,Wolfsburg
24,2019-12-21,15:30,Matchweek 17,Sat,Away,L,0,2,Bayern Munich,0.9,1.5,31.0,75000.0,Josuha Guilavogui,4-3-3,Christian Dingert,10.0,3.0,20.5,1.0,0.0,0.0,8.0,6.0,0.0,0.0,187.0,302.0,3382.0,1828.0,257.0,42.0,2.0,3.0,11.0,12.0,6.0,2019-2020,Wolfsburg
25,2020-01-18,15:30,Matchweek 18,Sat,Away,L,1,3,Köln,1.8,1.1,52.0,49100.0,Josuha Guilavogui,4-3-3,Marco Fritz,18.0,8.0,20.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,318.0,443.0,5900.0,2628.0,383.0,60.0,2.0,2.0,22.0,31.0,5.0,2019-2020,Wolfsburg
26,2020-01-25,15:30,Matchweek 19,Sat,Home,L,1,2,Hertha BSC,1.4,1.7,59.0,24894.0,Josuha Guilavogui,4-3-3,Markus Schmidt,20.0,7.0,20.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,475.0,613.0,9323.0,2983.0,556.0,54.0,1.0,2.0,33.0,27.0,9.0,2019-2020,Wolfsburg
27,2020-02-02,18:00,Matchweek 20,Sun,Away,W,4,2,Paderborn 07,1.5,0.9,52.0,13926.0,Josuha Guilavogui,4-3-3,Patrick Ittrich,9.0,5.0,12.1,1.0,0.0,0.0,7.0,5.0,0.0,0.0,338.0,464.0,6780.0,2468.0,402.0,59.0,0.0,9.0,22.0,26.0,7.0,2019-2020,Wolfsburg
28,2020-02-08,15:30,Matchweek 21,Sat,Home,D,1,1,Düsseldorf,1.2,0.7,49.0,23445.0,Josuha Guilavogui,4-3-2-1,Tobias Stieler,12.0,5.0,17.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,373.0,504.0,6829.0,2332.0,450.0,50.0,2.0,4.0,20.0,22.0,3.0,2019-2020,Wolfsburg
29,2020-02-15,15:30,Matchweek 22,Sat,Away,W,3,2,Hoffenheim,3.5,3.3,43.0,22506.0,Josuha Guilavogui,4-3-3,Sören Storks,12.0,4.0,19.2,0.0,2.0,2.0,6.0,4.0,1.0,0.0,328.0,435.0,6658.0,2523.0,394.0,40.0,1.0,6.0,16.0,22.0,4.0,2019-2020,Wolfsburg
31,2020-02-23,18:00,Matchweek 23,Sun,Home,W,4,0,Mainz 05,2.8,1.1,56.0,21058.0,Koen Casteels,4-4-2,Benjamin Cortus,17.0,6.0,18.3,0.0,0.0,0.0,3.0,3.0,0.0,0.0,414.0,530.0,7600.0,3115.0,478.0,51.0,1.0,4.0,17.0,29.0,4.0,2019-2020,Wolfsburg
33,2020-03-01,13:30,Matchweek 24,Sun,Away,D,2,2,Union Berlin,1.9,0.7,60.0,22012.0,Koen Casteels,4-4-2,Bastian Dankert,12.0,3.0,14.9,0.0,0.0,0.0,3.0,1.0,0.0,0.0,419.0,559.0,7994.0,2790.0,493.0,65.0,1.0,8.0,25.0,43.0,6.0,2019-2020,Wolfsburg
34,2020-03-07,15:30,Matchweek 25,Sat,Home,D,0,0,RB Leipzig,0.7,1.2,39.0,27195.0,Koen Casteels,4-4-2,Daniel Schlager,16.0,4.0,21.5,0.0,0.0,0.0,4.0,4.0,0.0,0.0,311.0,430.0,6121.0,3143.0,375.0,53.0,0.0,1.0,23.0,24.0,4.0,2019-2020,Wolfsburg
36,2020-05-16,15:30,Matchweek 26,Sat,Away,W,2,1,Augsburg,1.5,1.3,60.0,,Koen Casteels,4-2-3-1,Felix Brych,16.0,4.0,16.7,0.0,0.0,0.0,3.0,2.0,0.0,0.0,438.0,558.0,8497.0,2884.0,503.0,53.0,1.0,5.0,20.0,33.0,1.0,2019-2020,Wolfsburg
37,2020-05-23,15:30,Matchweek 27,Sat,Home,L,0,2,Dortmund,0.6,1.0,39.0,,Koen Casteels,4-4-2,Daniel Siebert,7.0,1.0,21.9,1.0,0.0,0.0,2.0,0.0,0.0,0.0,363.0,465.0,7023.0,2341.0,426.0,38.0,1.0,2.0,15.0,19.0,2.0,2019-2020,Wolfsburg
38,2020-05-26,20:30,Matchweek 28,Tue,Away,W,4,1,Leverkusen,2.3,1.2,31.0,,Koen Casteels,4-4-2,Daniel Schlager,14.0,9.0,16.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,210.0,312.0,4140.0,1728.0,263.0,46.0,1.0,3.0,15.0,20.0,6.0,2019-2020,Wolfsburg
39,2020-05-30,15:30,Matchweek 29,Sat,Home,L,1,2,Eint Frankfurt,2.0,1.9,53.0,,Koen Casteels,4-4-1-1,Guido Winkmann,19.0,4.0,15.7,0.0,0.0,0.0,3.0,1.0,1.0,0.0,302.0,429.0,6009.0,2739.0,362.0,65.0,0.0,6.0,15.0,36.0,4.0,2019-2020,Wolfsburg
40,2020-06-07,13:30,Matchweek 30,Sun,Away,W,1,0,Werder Bremen,2.4,0.6,46.0,,Koen Casteels,4-4-1-1,Bibiana Steinhaus,17.0,3.0,18.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,342.0,456.0,6438.0,2535.0,406.0,48.0,0.0,3.0,20.0,18.0,4.0,2019-2020,Wolfsburg
41,2020-06-13,15:30,Matchweek 31,Sat,Home,D,2,2,Freiburg,2.3,1.8,46.0,,Koen Casteels,4-4-2,Bastian Dankert,19.0,5.0,17.1,0.0,1.0,1.0,5.0,3.0,0.0,0.0,274.0,377.0,5546.0,2268.0,331.0,46.0,0.0,0.0,17.0,21.0,6.0,2019-2020,Wolfsburg
42,2020-06-16,18:30,Matchweek 32,Tue,Away,L,0,3,M'Gladbach,0.4,2.0,48.0,,Koen Casteels,4-2-3-1,Robert Schröder,12.0,2.0,25.2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,413.0,506.0,7496.0,2396.0,460.0,45.0,0.0,4.0,18.0,16.0,3.0,2019-2020,Wolfsburg
43,2020-06-20,15:30,Matchweek 33,Sat,Away,W,4,1,Schalke 04,1.7,0.9,51.0,,Koen Casteels,4-4-2,Sascha Stegemann,10.0,5.0,14.2,0.0,0.0,0.0,3.0,2.0,0.0,0.0,327.0,428.0,7398.0,3115.0,374.0,54.0,1.0,4.0,13.0,28.0,4.0,2019-2020,Wolfsburg
44,2020-06-27,15:30,Matchweek 34,Sat,Home,L,0,4,Bayern Munich,0.9,3.3,40.0,,Josuha Guilavogui,4-4-2,Patrick Ittrich,12.0,4.0,22.2,2.0,0.0,0.0,9.0,5.0,1.0,0.0,271.0,355.0,6089.0,2833.0,306.0,48.0,1.0,2.0,16.0,21.0,3.0,2019-2020,Wolfsburg
1,2019-08-17,15:30,Matchweek 1,Sat,Home,W,3,0,Mainz 05,2.3,1.0,53.0,24000.0,Christian Günter,3-4-1-2,Robert Hartmann,18.0,7.0,18.5,1.0,1.0,1.0,5.0,5.0,0.0,0.0,351.0,459.0,6614.0,2849.0,403.0,56.0,0.0,10.0,22.0,27.0,5.0,2019-2020,Freiburg
2,2019-08-24,15:30,Matchweek 2,Sat,Away,W,3,1,Paderborn 07,2.3,2.3,46.0,14322.0,Christian Günter,3-4-1-2,Tobias Welz,8.0,3.0,18.5,1.0,1.0,1.0,2.0,1.0,0.0,0.0,268.0,377.0,5567.0,2246.0,313.0,63.0,2.0,4.0,12.0,23.0,5.0,2019-2020,Freiburg
3,2019-08-31,15:30,Matchweek 3,Sat,Home,L,1,2,Köln,1.1,1.7,53.0,24000.0,Christian Günter,4-2-2-2,Robert Kampka,15.0,1.0,23.6,2.0,0.0,0.0,3.0,1.0,0.0,0.0,339.0,452.0,6145.0,2457.0,384.0,67.0,2.0,6.0,21.0,34.0,5.0,2019-2020,Freiburg
4,2019-09-15,15:30,Matchweek 4,Sun,Away,W,3,0,Hoffenheim,1.6,1.4,32.0,29395.0,Mike Frantz,3-4-1-2,Guido Winkmann,18.0,8.0,15.7,0.0,0.0,0.0,5.0,5.0,0.0,0.0,205.0,300.0,3472.0,1356.0,252.0,46.0,3.0,3.0,12.0,16.0,4.0,2019-2020,Freiburg
5,2019-09-21,15:30,Matchweek 5,Sat,Home,D,1,1,Augsburg,1.3,1.0,62.0,23800.0,Mike Frantz,3-4-1-2,Bastian Dankert,17.0,5.0,16.7,1.0,0.0,0.0,2.0,1.0,0.0,0.0,398.0,529.0,8477.0,3375.0,464.0,64.0,0.0,8.0,28.0,29.0,7.0,2019-2020,Freiburg
6,2019-09-29,15:30,Matchweek 6,Sun,Away,W,2,1,Düsseldorf,1.7,1.5,45.0,39244.0,Christian Günter,3-4-3,Daniel Siebert,8.0,2.0,19.8,1.0,0.0,1.0,7.0,6.0,0.0,0.0,347.0,434.0,6792.0,2303.0,394.0,40.0,0.0,4.0,6.0,16.0,1.0,2019-2020,Freiburg
7,2019-10-05,15:30,Matchweek 7,Sat,Home,D,2,2,Dortmund,0.3,0.8,35.0,24000.0,Christian Günter,3-4-3,Sven Jablonski,6.0,1.0,18.2,0.0,0.0,0.0,4.0,2.0,0.0,0.0,321.0,432.0,6025.0,2299.0,392.0,39.0,1.0,6.0,14.0,19.0,3.0,2019-2020,Freiburg
8,2019-10-19,15:30,Matchweek 8,Sat,Away,L,0,2,Union Berlin,0.7,1.5,60.0,22012.0,Christian Günter,3-4-3,Benjamin Cortus,12.0,4.0,18.2,0.0,0.0,0.0,5.0,3.0,0.0,0.0,472.0,601.0,8375.0,2790.0,542.0,58.0,0.0,2.0,16.0,21.0,4.0,2019-2020,Freiburg
9,2019-10-26,15:30,Matchweek 9,Sat,Home,W,2,1,RB Leipzig,2.1,2.5,41.0,24000.0,Christian Günter,3-4-3,Harm Osmers,14.0,3.0,17.6,0.0,0.0,0.0,6.0,5.0,0.0,0.0,332.0,434.0,6628.0,2505.0,378.0,53.0,2.0,2.0,20.0,28.0,5.0,2019-2020,Freiburg
11,2019-11-02,15:30,Matchweek 10,Sat,Away,D,2,2,Werder Bremen,1.2,1.5,54.0,41000.0,Christian Günter,4-4-2,Christian Dingert,13.0,3.0,17.5,1.0,0.0,0.0,10.0,8.0,0.0,0.0,459.0,555.0,8136.0,2447.0,504.0,49.0,0.0,2.0,18.0,22.0,0.0,2019-2020,Freiburg
12,2019-11-10,18:00,Matchweek 11,Sun,Home,W,1,0,Eint Frankfurt,0.9,1.4,52.0,24000.0,Christian Günter,4-4-2,Felix Brych,13.0,7.0,18.9,1.0,0.0,0.0,6.0,6.0,0.0,0.0,334.0,444.0,6968.0,2689.0,388.0,53.0,0.0,6.0,27.0,22.0,8.0,2019-2020,Freiburg
13,2019-11-23,15:30,Matchweek 12,Sat,Away,D,1,1,Leverkusen,1.1,4.1,29.0,29032.0,Christian Günter,3-4-1-2,Deniz Aytekin,8.0,2.0,16.8,0.0,0.0,0.0,9.0,8.0,0.0,0.0,194.0,304.0,3386.0,1236.0,257.0,47.0,2.0,2.0,8.0,16.0,3.0,2019-2020,Freiburg
14,2019-12-01,15:30,Matchweek 13,Sun,Away,L,2,4,M'Gladbach,1.5,5.0,49.0,51080.0,Christian Günter,3-4-1-2,Felix Zwayer,12.0,4.0,14.9,1.0,0.0,0.0,13.0,9.0,0.0,0.0,378.0,471.0,7034.0,2576.0,420.0,51.0,2.0,3.0,20.0,18.0,3.0,2019-2020,Freiburg
15,2019-12-07,15:30,Matchweek 14,Sat,Home,W,1,0,Wolfsburg,0.5,1.6,50.0,23800.0,Christian Günter,3-4-3,Bastian Dankert,10.0,3.0,22.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,434.0,6436.0,2861.0,374.0,59.0,0.0,3.0,25.0,27.0,2.0,2019-2020,Freiburg
16,2019-12-14,15:30,Matchweek 15,Sat,Away,L,0,1,Hertha BSC,0.9,1.0,62.0,37343.0,Christian Günter,3-4-3,Frank Willenborg,15.0,3.0,19.3,1.0,0.0,0.0,4.0,3.0,0.0,0.0,505.0,627.0,9521.0,3288.0,570.0,56.0,1.0,6.0,28.0,29.0,7.0,2019-2020,Freiburg
17,2019-12-18,20:30,Matchweek 16,Wed,Home,L,1,3,Bayern Munich,2.1,4.3,36.0,24000.0,Mike Frantz,4-4-2,Sascha Stegemann,15.0,5.0,14.6,0.0,0.0,0.0,9.0,6.0,0.0,0.0,252.0,370.0,5380.0,2687.0,318.0,49.0,2.0,3.0,16.0,16.0,6.0,2019-2020,Freiburg
18,2019-12-21,15:30,Matchweek 17,Sat,Away,D,2,2,Schalke 04,3.0,2.0,42.0,61867.0,Christian Günter,4-2-2-2,Felix Brych,17.0,5.0,19.5,0.0,2.0,2.0,6.0,4.0,0.0,0.0,266.0,357.0,5879.0,2504.0,307.0,49.0,1.0,10.0,17.0,18.0,5.0,2019-2020,Freiburg
19,2020-01-18,15:30,Matchweek 18,Sat,Away,W,2,1,Mainz 05,1.7,1.8,43.0,23138.0,Christian Günter,3-4-3,Sven Jablonski,13.0,3.0,16.5,0.0,0.0,0.0,8.0,7.0,0.0,0.0,260.0,385.0,5344.0,2552.0,314.0,69.0,2.0,0.0,16.0,31.0,5.0,2019-2020,Freiburg
