,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,sh,sot,dist,fk,pk,pkatt,sota,saves,pka,pksv,cmp,att,totdist,prgdist,live,dead,tb,sw,crs,ti,ck,season,team
39,2023-04-08,15:30,Matchweek 27,Sat,Away,W,1,0,Freiburg,3.5,1.0,66.0,34700.0,Thomas Müller,4-1-4-1,Daniel Siebert,22.0,8.0,16.2,0.0,0.0,0.0,2.0,2.0,0.0,0.0,596.0,694.0,10354.0,3724.0,655.0,36.0,4.0,2.0,19.0,11.0,6.0,2022-2023,Bayern Munich
41,2023-04-15,15:30,Matchweek 28,Sat,Home,D,1,1,Hoffenheim,1.6,0.4,66.0,75000.0,Thomas Müller,4-2-3-1,Bastian Dankert,22.0,8.0,17.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,606.0,711.0,10529.0,3620.0,664.0,46.0,1.0,5.0,30.0,16.0,13.0,2022-2023,Bayern Munich
43,2023-04-22,15:30,Matchweek 29,Sat,Away,L,1,3,Mainz 05,1.9,1.6,74.0,33305.0,Thomas Müller,3-1-4-2,Felix Zwayer,11.0,2.0,14.3,0.0,0.0,0.0,4.0,1.0,0.0,0.0,673.0,787.0,11129.0,3609.0,727.0,57.0,5.0,2.0,19.0,24.0,7.0,2022-2023,Bayern Munich
44,2023-04-30,15:30,Matchweek 30,Sun,Home,W,2,0,Hertha BSC,2.7,0.1,80.0,75000.0,Joshua Kimmich,4-2-3-1,Patrick Ittrich,26.0,9.0,16.3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,735.0,840.0,13074.0,3772.0,783.0,55.0,2.0,5.0,43.0,25.0,18.0,2022-2023,Bayern Munich
45,2023-05-06,18:30,Matchweek 31,Sat,Away,W,2,1,Werder Bremen,1.4,0.7,67.0,42100.0,Joshua Kimmich,4-2-3-1,Christian Dingert,13.0,4.0,14.7,0.0,0.0,0.0,2.0,1.0,0.0,0.0,626.0,730.0,10972.0,3432.0,666.0,64.0,2.0,1.0,26.0,29.0,11.0,2022-2023,Bayern Munich
46,2023-05-13,15:30,Matchweek 32,Sat,Home,W,6,0,Schalke 04,5.3,0.4,62.0,75000.0,Thomas Müller,4-1-4-1,Robert Schröder,24.0,12.0,16.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,498.0,572.0,8282.0,2675.0,527.0,43.0,4.0,2.0,6.0,23.0,4.0,2022-2023,Bayern Munich
47,2023-05-20,18:30,Matchweek 33,Sat,Home,L,1,3,RB Leipzig,1.6,2.8,60.0,75000.0,Thomas Müller,4-2-3-1,Deniz Aytekin,17.0,5.0,18.3,0.0,0.0,0.0,7.0,4.0,2.0,0.0,536.0,633.0,9318.0,3308.0,577.0,54.0,1.0,0.0,24.0,28.0,7.0,2022-2023,Bayern Munich
48,2023-05-27,15:30,Matchweek 34,Sat,Away,W,2,1,Köln,1.3,1.3,53.0,50000.0,Thomas Müller,4-2-3-1,Sven Jablonski,12.0,4.0,13.1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,443.0,549.0,7787.0,2637.0,504.0,43.0,1.0,4.0,7.0,22.0,3.0,2022-2023,Bayern Munich
1,2022-08-06,18:30,Matchweek 1,Sat,Home,W,1,0,Leverkusen,1.8,1.3,45.0,81365.0,Marco Reus,4-3-3,Felix Brych,14.0,4.0,17.8,1.0,0.0,0.0,3.0,3.0,0.0,0.0,324.0,439.0,5864.0,2322.0,389.0,48.0,0.0,3.0,12.0,22.0,3.0,2022-2023,Dortmund
2,2022-08-12,20:30,Matchweek 2,Fri,Away,W,3,1,Freiburg,1.1,1.0,61.0,34700.0,Marco Reus,4-2-3-1,Tobias Welz,13.0,6.0,20.6,1.0,0.0,0.0,7.0,6.0,0.0,0.0,451.0,550.0,7570.0,2589.0,501.0,47.0,1.0,3.0,15.0,19.0,2.0,2022-2023,Dortmund
3,2022-08-20,15:30,Matchweek 3,Sat,Home,L,2,3,Werder Bremen,0.5,1.3,50.0,81365.0,Marco Reus,4-2-3-1,Florian Badstübner,6.0,4.0,21.2,0.0,0.0,0.0,7.0,4.0,0.0,0.0,354.0,464.0,5586.0,2121.0,401.0,56.0,2.0,1.0,10.0,28.0,3.0,2022-2023,Dortmund
4,2022-08-27,15:30,Matchweek 4,Sat,Away,W,1,0,Hertha BSC,2.7,0.5,62.0,62142.0,Marco Reus,4-2-3-1,Tobias Stieler,22.0,6.0,14.5,1.0,0.0,0.0,3.0,3.0,0.0,0.0,531.0,633.0,8755.0,3182.0,588.0,45.0,1.0,3.0,24.0,20.0,10.0,2022-2023,Dortmund
5,2022-09-02,20:30,Matchweek 5,Fri,Home,W,1,0,Hoffenheim,2.0,0.5,49.0,79300.0,Marco Reus,4-5-1,Daniel Siebert,15.0,5.0,13.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,394.0,490.0,7223.0,3137.0,443.0,45.0,0.0,6.0,17.0,17.0,5.0,2022-2023,Dortmund
7,2022-09-10,15:30,Matchweek 6,Sat,Away,L,0,3,RB Leipzig,0.6,2.0,55.0,47069.0,Marco Reus,4-2-3-1,Sven Jablonski,5.0,0.0,12.8,0.0,0.0,0.0,5.0,2.0,0.0,0.0,404.0,517.0,6861.0,2576.0,458.0,59.0,0.0,10.0,21.0,24.0,8.0,2022-2023,Dortmund
9,2022-09-17,15:30,Matchweek 7,Sat,Home,W,1,0,Schalke 04,1.8,0.1,65.0,81100.0,Marco Reus,4-2-3-1,Felix Brych,17.0,5.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,617.0,9153.0,3516.0,561.0,53.0,1.0,10.0,32.0,21.0,11.0,2022-2023,Dortmund
